时间,地点,对阵/赛果,性质,主教练
1995.02.26,,中国香港1-1中国,东亚四强赛,戚务生
1995.02.23,,中国1-2日本,东亚四强赛,戚务生
1995.02.21,,中国香港0-0中国,东亚四强赛,戚务生
1995.02.19,,中国0-0韩国,东亚四强赛,戚务生
1994.10.16,,乌兹别克4-2中国,亚运会,戚务生
1994.10.13,,中国2-0科威特,亚运会,戚务生
1994.10.11,,中国2-0沙特阿拉伯,亚运会,戚务生
1994.10.07,,中国1-0伊朗,亚运会,戚务生
1994.10.05,,中国3-2巴林,亚运会,戚务生
1994.10.03,,中国4-0也门,亚运会,戚务生
1994.10.01,,土库曼斯坦2-2中国,亚运会,戚务生
1994.01.26,,沙特阿拉伯1-1中国,友谊赛,
1994.01.23,,沙特阿拉伯1-0中国,友谊赛,
1993.11.03,,墨西哥3-0中国,友谊赛,
1993.06.20,,中国2-1伊拉克,世界杯预选赛亚洲区,
1993.06.18,,中国1-0也门,世界杯预选赛亚洲区,
1993.06.16,,中国4-1约旦,世界杯预选赛亚洲区,
1993.06.12,,中国3-0巴基斯坦,世界杯预选赛亚洲区,
1993.05.30,,伊拉克1-0中国,世界杯预选赛亚洲区,
1993.05.28,,也门1-0中国,世界杯预选赛亚洲区,
1993.05.26,,约旦0-3中国,世界杯预选赛亚洲区,
1993.05.22,,中国5-0巴基斯坦,世界杯预选赛亚洲区,
1993.02.24,,科威特1-0中国,友谊赛,
1992.12.02,,中国2-1挪威,友谊赛,
1992.11.08,,中国1-1阿联酋,亚洲杯,
1992.11.06,,日本3-2中国,亚洲杯,
1992.11.02,,中国2-1卡塔尔,亚洲杯,
1992.10.31,,中国0-0泰国,亚洲杯,
1992.10.29,,沙特阿拉伯1-1中国,亚洲杯,
1992.08.26,,中国0-2韩国,东亚四强赛,
1992.08.24,,中国0-2日本,东亚四强赛,
1992.08.22,,中国2-2朝鲜,东亚四强赛,
1992.04.26,,新加坡0-1中国,亚洲杯预选赛,
1992.04.23,,中国4-0马来西亚,亚洲杯预选赛,
1992.04.20,,中国2-0印度尼西亚,亚洲杯预选赛,
1992.04.04,,美国5-0中国,友谊赛,
1990.10.01,,中国0-1泰国,亚运会,
1990.09.27,,中国0-2韩国,亚运会,
1990.09.25,,中国5-1新加坡,亚运会,
1990.09.23,,中国3-0巴基斯坦,亚运会,
1990.08.24,,新西兰1-0中国,友谊赛,
1990.08.16,,新西兰2-1中国,友谊赛,
1990.08.03,,中国1-1韩国,东亚四强赛,
1990.07.31,,中国0-1韩国,东亚四强赛,
1990.07.29,,中国1-0日本,东亚四强赛,
1990.07.27,,中国2-0朝鲜,东亚四强赛,
1990.02.01,,泰国4-2中国,友谊赛,
1990.01.29,,中国8-0印度尼西亚,友谊赛,
1989.10.28,,卡塔尔2-1中国,世界杯预选赛亚洲区,
1989.10.24,,中国1-0朝鲜,世界杯预选赛亚洲区,
1989.10.20,,韩国1-0中国,世界杯预选赛亚洲区,
1989.10.17,,阿联酋2-1中国,世界杯预选赛亚洲区,
1989.10.12,,中国2-1沙特阿拉伯,世界杯预选赛亚洲区,
1989.09.20,,科威特2-0中国,友谊赛,
1989.07.29,,中国2-0泰国,世界杯预选赛亚洲区,
1989.07.22,,伊朗3-2中国,世界杯预选赛亚洲区,
1989.07.15,,中国2-0伊朗,世界杯预选赛亚洲区,
1989.05.13,,日本2-0中国,友谊赛,
1989.05.10,,日本2-2中国,友谊赛,
1989.03.04,,孟加拉国0-2中国,世界杯预选赛亚洲区,
1989.02.28,,泰国0-3中国,世界杯预选赛亚洲区,
1989.02.23,,中国2-0孟加拉国,世界杯预选赛亚洲区,
1988.12.17,,伊朗0-0中国,亚洲杯,
1988.12.14,,韩国2-1中国,亚洲杯,
1988.12.12,,沙特阿拉伯1-0中国,亚洲杯,
1988.12.10,,中国2-2科威特,亚洲杯,
1988.12.06,,中国1-0巴林,亚洲杯,
